threshold,nb_trades,hit_rate,avg_gross_return,avg_net_return,strategy_factor,market_factor,window,test_start,test_end,nb_rows_test
0.55,1574,0.5216010165184244,-0.0004928550391689668,-0.0008928550391689665,0.197437393003214,0.10138644484378294,1,2022-04-06 08:00:00+00:00,2023-03-12 19:00:00+00:00,3976
0.58,1049,0.5386081982840801,-0.0003652801717032724,-0.0007652801717032722,0.38784373434170916,0.10138644484378294,1,2022-04-06 08:00:00+00:00,2023-03-12 19:00:00+00:00,3976
0.6,793,0.544766708701135,-0.0003055856819965043,-0.0007055856819965041,0.5084197514857678,0.10138644484378294,1,2022-04-06 08:00:00+00:00,2023-03-12 19:00:00+00:00,3976
0.62,580,0.5551724137931034,-0.0003729461509335788,-0.0007729461509335785,0.5846436206662498,0.10138644484378294,1,2022-04-06 08:00:00+00:00,2023-03-12 19:00:00+00:00,3976
0.65,334,0.5958083832335329,0.00042276814645384576,2.276814645384608e-05,0.9548100264992183,0.10138644484378294,1,2022-04-06 08:00:00+00:00,2023-03-12 19:00:00+00:00,3976
0.55,1359,0.5945548197203826,0.001748886993056706,0.0013488869930567058,5.559412340181138,24.848342586139363,2,2023-03-12 20:00:00+00:00,2024-04-24 18:00:00+00:00,3976
0.58,909,0.6160616061606161,0.0021351811316021197,0.00173518113160212,4.474217937508432,24.848342586139363,2,2023-03-12 20:00:00+00:00,2024-04-24 18:00:00+00:00,3976
0.6,699,0.6237482117310443,0.0021974575170366625,0.0017974575170366623,3.3249877597255413,24.848342586139363,2,2023-03-12 20:00:00+00:00,2024-04-24 18:00:00+00:00,3976
0.62,502,0.6314741035856574,0.002305308275224501,0.0019053082752245013,2.5068019838649884,24.848342586139363,2,2023-03-12 20:00:00+00:00,2024-04-24 18:00:00+00:00,3976
0.65,298,0.62751677852349,0.0021692569808350686,0.0017692569808350695,1.653181827192044,24.848342586139363,2,2023-03-12 20:00:00+00:00,2024-04-24 18:00:00+00:00,3976
0.55,1320,0.5651515151515152,0.0012701127835230619,0.0008701127835230619,2.770861009368507,1.5488059040843773,3,2024-04-25 00:00:00+00:00,2025-03-18 21:00:00+00:00,3976
0.58,875,0.576,0.0012522209175508457,0.0008522209175508457,1.9521291147612396,1.5488059040843773,3,2024-04-25 00:00:00+00:00,2025-03-18 21:00:00+00:00,3976
0.6,619,0.5896607431340872,0.0012350858656203936,0.0008350858656203936,1.5905875375739413,1.5488059040843773,3,2024-04-25 00:00:00+00:00,2025-03-18 21:00:00+00:00,3976
0.62,394,0.5888324873096447,0.0009697864569135518,0.0005697864569135518,1.2131482750746068,1.5488059040843773,3,2024-04-25 00:00:00+00:00,2025-03-18 21:00:00+00:00,3976
0.65,195,0.5692307692307692,0.00010679428472628473,-0.00029320571527371536,0.9279928852990432,1.5488059040843773,3,2024-04-25 00:00:00+00:00,2025-03-18 21:00:00+00:00,3976
0.55,1281,0.5199063231850117,-0.00017247769681030437,-0.0005724776968103042,0.4370168248047527,0.581242343677175,4,2025-03-19 01:00:00+00:00,2026-03-24 11:00:00+00:00,3976
0.58,784,0.5471938775510204,0.00040454808777832347,4.5480877783234235e-06,0.9520052952390466,0.581242343677175,4,2025-03-19 01:00:00+00:00,2026-03-24 11:00:00+00:00,3976
0.6,520,0.5576923076923077,0.0006624085377140051,0.00026240853771400527,1.1070335665777098,0.581242343677175,4,2025-03-19 01:00:00+00:00,2026-03-24 11:00:00+00:00,3976
0.62,332,0.536144578313253,0.00016486385586642052,-0.0002351361441335795,0.9039688572290296,0.581242343677175,4,2025-03-19 01:00:00+00:00,2026-03-24 11:00:00+00:00,3976
0.65,151,0.5960264900662252,0.0020287767772878803,0.001628776777287881,1.2640672634196346,0.581242343677175,4,2025-03-19 01:00:00+00:00,2026-03-24 11:00:00+00:00,3976
